Tarih(yil_ay);Saat;YukTahminPlan(MWh);PTF(TL/MWh);SMF(TL/MWh);KGUP(MWh);YAL0(MWh);YAL1(MWh);YAT0(MWh);YAT1(MWh);YAL TeslimEdilemeyenMiktar(MWh);YAT TeslimEdilemeyenMiktar(MWh);PFK Fiyat;SFK Fiyat;Column1
201802;10;38700;20500;22500;3445867;2382050;0;156316;0;417607;4294;4800;6000;
201802;11;38600;20793;22793;3428600;2453369;0;79800;0;600547;0;4800;6000;
201802;12;36900;16900;18900;3302841;1859983;0;0;0;278362;0;4459;4800;
201802;13;36800;16900;18900;3343435;2149199;0;0;0;312057;0;4459;4800;
201802;14;37100;17474;22000;3375806;2859900;0;38400;0;748587;0;4459;4800;
201802;15;37200;17799;22599;3349824;2873500;0;0;0;590867;0;4459;4800;
201802;16;37600;20479;24000;3414423;2770000;0;0;0;427196;0;4459;4800;
201802;17;37700;20454;21954;3500740;1265068;0;171166;0;329430;0;4459;4800;
201802;18;38600;20640;22000;3545797;892518;0;0;0;273700;0;4459;4800;
201802;19;37900;17800;19800;3529998;1893566;0;72500;0;406940;0;4459;4800;
201802;20;37400;17799;19300;3430336;1432717;0;0;0;294560;0;4199;4459;
201802;21;36400;16699;18400;3328428;1527500;0;0;0;336774;0;4199;4459;
201802;22;35700;17996;18895;3275730;1500000;0;30000;0;526510;0;4199;4459;
201802;23;34500;17000;18400;3159545;1570016;0;49999;0;322118;0;4199;4459;
201802;0;31800;19768;16753;3026072;481050;0;696068;0;140530;113536;3999;4415;
201802;1;29900;19494;19494;2800453;234051;0;349650;0;10;77217;3999;4415;
201802;2;28800;19650;16653;2685659;0;0;406601;0;0;151507;3999;4415;
201802;3;28200;17693;17693;2621519;;;;;;;3999;4415;
201802;4;28000;12396;12396;2620207;;;;;;;3999;5959;
201802;5;28400;15240;15240;2636228;;;;;;;3999;5959;
201802;6;29600;18499;18499;2738200;;;;;;;3999;5959;
201802;7;32100;21500;21500;2969991;115500;0;0;0;1;0;3999;5959;
201802;8;36300;21667;21667;3400104;821934;0;267400;0;131857;9310;4800;6000;
201802;9;37900;21738;21800;3637672;448000;0;0;0;204390;0;4800;6000;
201802;10;38000;21659;21659;3664594;379000;0;0;0;215110;0;4800;6000;
201802;11;38200;21596;21596;3667333;369333;0;0;0;200673;0;4800;6000;
201802;12;35900;20480;20480;3490597;323483;0;215833;0;110750;3767;4459;4459;
201802;13;35900;20479;20479;3477499;0;0;179116;0;0;44403;4459;4459;
201802;14;36200;20479;20479;3503032;375600;0;0;0;141760;0;4459;4459;
201802;15;36000;20398;20398;3455931;221650;0;120301;0;86750;17547;4459;4459;
201802;16;36500;20480;20480;3495116;164434;0;390267;0;5070;7800;4459;4800;
201802;17;37200;20164;20164;3545767;152416;0;0;0;31900;0;4459;4800;
201802;18;38300;19999;17500;3606967;75000;0;134900;0;15000;0;4459;4800;
201802;19;38100;19999;19000;3620639;14917;0;107467;0;4250;14877;4459;4800;
201802;20;37400;20551;20551;3502855;625050;0;25000;0;62900;0;4199;4589;
201802;21;36300;19290;19290;3416038;;;;;;;4199;4589;
201802;22;35500;17000;13953;3380097;0;0;133333;0;0;;4199;4589;
201802;23;34000;16899;12500;3240551;29167;0;516317;0;0;61344;4199;4589;
201802;0;32000;18470;14700;3005362;556351;0;940965;0;49830;95440;3980;4899;
201802;1;30100;17171;17171;2768596;0;0;105350;0;0;24288;3980;4899;
201802;2;29000;11859;12000;2687397;438900;0;0;0;192515;0;3980;4899;
201802;3;28400;11860;12000;2622895;710000;0;0;0;388026;0;3980;4899;
201802;4;28200;9999;10499;2613987;639000;0;0;0;320130;0;3500;7499;
201802;5;28600;9999;10100;2635994;729417;0;0;0;328082;0;3500;7499;
201802;6;29800;16994;17200;2735339;1912433;0;0;0;1150539;0;3500;7499;
201802;7;32300;17800;18200;2898151;1640300;0;19800;0;575197;1120;3500;7499;
201802;8;36500;20479;20479;3374094;932668;0;333232;0;333223;18967;4799;6240;
201802;9;38100;20999;20999;3581534;267000;0;0;0;27000;0;4799;6240;
201802;10;38200;17999;18200;3576572;625685;0;0;0;151681;0;4799;6240;
201802;11;38400;17301;18791;3571844;1849983;0;0;0;677236;0;4799;6240;
201802;12;36100;12501;14501;3390049;1057500;0;0;0;212187;0;4489;5100;
201802;13;36100;14999;16999;3398338;1028000;0;0;0;194000;0;4489;5100;
201802;14;36400;15896;17000;3438880;851167;0;0;0;179277;0;4489;5100;
201802;15;36200;16700;18200;3421525;1479000;0;0;0;224969;0;4489;5100;
